,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
0,146.0,0.507,288.0,46.0,0.341,135.0,64.0,20.0,18.0,175.0,192.0,0.45399999999999996,423.0,85.0,0.685,124.0,78.0,20.0,NBA,1341.0,45.0,142.0,515.0,Clyde Lovellette,SF,35.0,2016-17,68.0,220.0,BOS,0.508
1,252.0,0.507,497.0,121.0,0.395,306.0,114.0,21.0,26.0,280.0,373.0,0.465,803.0,150.0,0.644,233.0,70.0,70.0,NBA,2152.0,66.0,181.0,1017.0,Clyde Lovellette,SG,70.0,2017-18,124.0,346.0,BOS,0.54
2,273.0,0.529,516.0,95.0,0.344,276.0,100.0,22.0,32.0,248.0,368.0,0.465,792.0,133.0,0.6579999999999999,202.0,74.0,25.0,NBA,1913.0,65.0,186.0,964.0,Clyde Lovellette,SG,69.0,2018-19,99.0,313.0,BOS,0.525
3,16.0,0.615,26.0,4.0,0.28600000000000003,14.0,6.0,23.0,3.0,19.0,20.0,0.5,40.0,8.0,0.667,12.0,3.0,3.0,NBA,86.0,1.0,11.0,52.0,Clyde Lovellette,SG,2.0,2019-20,4.0,20.0,BOS,0.55
4,687.0,0.518,1327.0,266.0,0.364,731.0,284.0,,79.0,722.0,953.0,0.46299999999999997,2058.0,376.0,0.6579999999999999,571.0,225.0,118.0,NBA,5492.0,177.0,520.0,2548.0,Clyde Lovellette,,176.0,Career,295.0,899.0,,0.528
5,,,,,,,51.0,24.0,,,237.0,0.423,560.0,114.0,0.695,164.0,72.0,,NBA,1255.0,,210.0,588.0,Bobby McDermott,C,,1953-54,,419.0,MNL,
6,,,,,,,100.0,25.0,,,519.0,0.435,1192.0,273.0,0.6859999999999999,398.0,70.0,,NBA,2361.0,,262.0,1311.0,Bobby McDermott,C,,1954-55,,802.0,MNL,
7,,,,,,,164.0,26.0,,,594.0,0.434,1370.0,338.0,0.721,469.0,71.0,,NBA,2518.0,,245.0,1526.0,Bobby McDermott,C,,1955-56,,992.0,MNL,
8,,,,,,,139.0,27.0,,,574.0,0.426,1348.0,286.0,0.7170000000000001,399.0,69.0,,NBA,2492.0,,251.0,1434.0,Bobby McDermott,C,,1956-57,,932.0,MNL,
9,,,,,,,134.0,28.0,,,679.0,0.441,1540.0,301.0,0.743,405.0,71.0,,NBA,2589.0,,236.0,1659.0,Bobby McDermott,C,,1957-58,,862.0,CIN,
