,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player
0,2016-17,20.0,BOS,NBA,SF,78.0,20.0,1341.0,192.0,423.0,0.45399999999999996,46.0,135.0,0.341,146.0,288.0,0.507,0.508,85.0,124.0,0.685,45.0,175.0,220.0,64.0,35.0,18.0,68.0,142.0,515.0,Giannis Antetokounmpo
1,2017-18,21.0,BOS,NBA,SG,70.0,70.0,2152.0,373.0,803.0,0.465,121.0,306.0,0.395,252.0,497.0,0.507,0.54,150.0,233.0,0.644,66.0,280.0,346.0,114.0,70.0,26.0,124.0,181.0,1017.0,Giannis Antetokounmpo
2,2018-19,22.0,BOS,NBA,SG,74.0,25.0,1913.0,368.0,792.0,0.465,95.0,276.0,0.344,273.0,516.0,0.529,0.525,133.0,202.0,0.6579999999999999,65.0,248.0,313.0,100.0,69.0,32.0,99.0,186.0,964.0,Giannis Antetokounmpo
3,2019-20,23.0,BOS,NBA,SG,3.0,3.0,86.0,20.0,40.0,0.5,4.0,14.0,0.28600000000000003,16.0,26.0,0.615,0.55,8.0,12.0,0.667,1.0,19.0,20.0,6.0,2.0,3.0,4.0,11.0,52.0,Giannis Antetokounmpo
4,Career,,,NBA,,225.0,118.0,5492.0,953.0,2058.0,0.46299999999999997,266.0,731.0,0.364,687.0,1327.0,0.518,0.528,376.0,571.0,0.6579999999999999,177.0,722.0,899.0,284.0,176.0,79.0,295.0,520.0,2548.0,Giannis Antetokounmpo
5,2013-14,19.0,MIL,NBA,SF,77.0,23.0,1897.0,173.0,418.0,0.414,41.0,118.0,0.34700000000000003,132.0,300.0,0.44,0.46299999999999997,138.0,202.0,0.6829999999999999,78.0,261.0,339.0,150.0,60.0,61.0,122.0,173.0,525.0,James Harden
6,2014-15,20.0,MIL,NBA,SG,81.0,71.0,2541.0,383.0,780.0,0.491,7.0,44.0,0.159,376.0,736.0,0.511,0.496,257.0,347.0,0.741,100.0,442.0,542.0,207.0,73.0,85.0,173.0,254.0,1030.0,James Harden
7,2015-16,21.0,MIL,NBA,PG,80.0,79.0,2823.0,513.0,1013.0,0.506,28.0,109.0,0.257,485.0,904.0,0.537,0.52,296.0,409.0,0.7240000000000001,113.0,499.0,612.0,345.0,94.0,113.0,208.0,258.0,1350.0,James Harden
8,2016-17,22.0,MIL,NBA,SF,80.0,80.0,2845.0,656.0,1259.0,0.521,49.0,180.0,0.272,607.0,1079.0,0.563,0.541,471.0,612.0,0.77,142.0,558.0,700.0,434.0,131.0,151.0,234.0,246.0,1832.0,James Harden
9,2017-18,23.0,MIL,NBA,PF,75.0,75.0,2756.0,742.0,1402.0,0.529,43.0,140.0,0.307,699.0,1262.0,0.5539999999999999,0.545,487.0,641.0,0.76,156.0,597.0,753.0,361.0,109.0,106.0,223.0,231.0,2014.0,James Harden
10,2018-19,24.0,MIL,NBA,PF,72.0,72.0,2358.0,721.0,1247.0,0.578,52.0,203.0,0.256,669.0,1044.0,0.6409999999999999,0.599,500.0,686.0,0.7290000000000001,159.0,739.0,898.0,424.0,92.0,110.0,268.0,232.0,1994.0,James Harden
