,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
0,,,,,,,51,24,,,237,0.423,560,114,0.695,164,72,,NBA,1255,,210,588,Wes Unseld,C,,1953-54,,419,MNL,
1,,,,,,,100,25,,,519,0.435,1192,273,0.686,398,70,,NBA,2361,,262,1311,Wes Unseld,C,,1954-55,,802,MNL,
2,,,,,,,164,26,,,594,0.434,1370,338,0.721,469,71,,NBA,2518,,245,1526,Wes Unseld,C,,1955-56,,992,MNL,
3,,,,,,,139,27,,,574,0.426,1348,286,0.717,399,69,,NBA,2492,,251,1434,Wes Unseld,C,,1956-57,,932,MNL,
4,,,,,,,134,28,,,679,0.441,1540,301,0.743,405,71,,NBA,2589,,236,1659,Wes Unseld,C,,1957-58,,862,CIN,
5,,,,,,,91,29,,,402,0.454,885,205,0.82,250,70,,NBA,1599,,216,1009,Wes Unseld,C,,1958-59,,605,STL,
6,,,,,,,127,30,,,550,0.468,1174,316,0.821,385,68,,NBA,1953,,248,1416,Wes Unseld,C,,1959-60,,721,STL,
7,,,,,,,172,31,,,599,0.453,1321,273,0.83,329,67,,NBA,2111,,248,1471,Wes Unseld,C,,1960-61,,677,STL,
8,,,,,,,68,32,,,341,0.471,724,155,0.829,187,40,,NBA,1192,,136,837,Wes Unseld,C,,1961-62,,350,STL,
9,,,,,,,27,33,,,161,0.428,376,73,0.745,98,61,,NBA,568,,137,395,Wes Unseld,C,,1962-63,,177,BOS,
10,,,,,,,24,34,,,128,0.42,305,45,0.789,57,45,,NBA,437,,100,301,Wes Unseld,C,,1963-64,,126,BOS,
11,,,,,,,1097,,,,4784,0.443,10795,2379,0.757,3141,704,,NBA,19075,,2289,11947,Wes Unseld,,,Career,,6663,,
12,,,,,,,,,,,,,,,,,,,,,,,,Wes Unseld,,,,,,,
13,,,,,,,454,,,,1924,0.43,4470,1011,0.707,1430,282,,NBA,8626,,968,4859,Wes Unseld,,,4 seasons,,3145,MNL,
14,,,,,,,458,,,,1892,0.461,4104,949,0.825,1151,245,,NBA,6855,,848,4733,Wes Unseld,,,4 seasons,,2353,STL,
15,,,,,,,51,,,,289,0.424,681,118,0.761,155,106,,NBA,1005,,237,696,Wes Unseld,,,2 seasons,,303,BOS,
16,,,,,,,134,,,,679,0.441,1540,301,0.743,405,71,,NBA,2589,,236,1659,Wes Unseld,,,1 season,,862,CIN,
17,,,,,,,330,23,,,664,0.436,1522,273,0.738,370,80,,NBA,2762,,217,1601,Elvin Hayes,PG,,1966-67,,359,DET,
18,,,,,,,509,24,,,835,0.441,1893,472,0.707,668,79,,NBA,3209,,254,2142,Elvin Hayes,PG,,1967-68,,373,DET,
19,,,,,,,546,25,,,678,0.425,1594,444,0.713,623,77,,NBA,3039,,256,1800,Elvin Hayes,PG,,1968-69,,382,DET,
20,,,,,,,418,26,,,575,0.444,1295,454,0.783,580,70,,NBA,2334,,196,1604,Elvin Hayes,PG,,1969-70,,299,DET,
